"Идентиф.";"Обозначение";"Посад. место";"Количество";"Значение";"Поставщик и справка";
1;"XT18";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Lifter DOWN";;;
2;"XT27";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"BUZZER";;;
3;"XT22";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"UART_ESP32";;;
4;"BT1";"BatteryHolder_RUICHI_856_CR1220";1;"+3V";;;
5;"D2";"LED_0805_2012Metric";1;"LED_USER";;;
6;"XT14";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Pallet4";;;
7;"XT23";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"RS485";;;
8;"XT25";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Log_UART";;;
9;"XT34";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"WS_Sensor6";;;
10;"XT28";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Encoder";;;
11;"XT8";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"White Led2";;;
12;"XT12";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Pallet2";;;
13;"XT33";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"WS_Sensor5";;;
14;"XT16";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Red Led1";;;
15;"XT2";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Bumper_F2";;;
16;"XT4";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Bumper_R2";;;
17;"D1,D3";"LED_0805_2012Metric";2;"LED_VDD";;;
18;"XT1";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Bumper_F1";;;
19;"XT17";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Red Led2";;;
20;"C22,C7";"CP_Radial_D10.0mm_P5.00mm";2;"100u";;;
21;"XT3";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Bumper_R1";;;
22;"XT31";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"WS_Sensor2";;;
23;"XT15";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Lifter UP";;;
24;"XT11";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Pallet1";;;
25;"XT21";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"ST_Link";;;
26;"XT13";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Pallet3";;;
27;"XT5";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Green Led1";;;
28;"XT6";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Green Led2";;;
29;"XT9";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Channel_in";;;
30;"XT26";"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical";1;"UART1_LORA";;;
31;"XT32";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"WS_Sensor1";;;
